title,price,marcas
Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Preto,"ou R$ 1.449,00",xiaomi
"Smartphone Motorola Moto G22 128GB Verde 4G 4GB RAM Tela 6,5"" Câm. Quádrupla + Selfie 16MP","ou R$ 3.598,99",motorola
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Preto,"ou R$ 4.299,00",xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM VIRTUAL Dual Tela 6.67,"ou R$ 3.498,99",xiaomi
"Smartphone Xiaomi Redmi Note 14 Pro 4G 256GB 8GB RAM Dual SIM Tela 6.67"" - Preto - Xioami","ou R$ 8.499,00",xiaomi
Smartphone Xiaomi Redmi 14C 128GB 4GB/4GB RAM VIRTUAL,"ou R$ 10.799,10",xiaomi
Samsung Galaxy S23 256 GB 5G Preto 8 GB RAM,"ou R$ 1.074,15",samsung
Smartphone Motorola Edge 60 Fusion 5G 256GB 24GB 8GB RAM16GB Ram Boost moto AI 50MP Sony Camera Ultraresistencia militar IP68 NFC,"ou R$ 1.046,24",motorola
"Smartphone Motorola Moto G53 128GB Grafite 5G Snapdragon 480+ Octa-Core 4GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip","ou R$ 1.484,10",motorola
Smartphone Realme C61 RMX3930 256GB 8GB RAM Dual SIM NFC Tela 6.74 Dourado,"ou R$ 2.799,00",realme
Smartphone Realme Note 50 4gb Ram 128 Azul,"ou R$ 719,10",xiaomi
"Apple iPhone 16 Plus 128GB Rosa 6,7"" 48MP iOS 5G","ou R$ 1.444,99",apple
Smartphone Xiaomi POCO X6 5G 256GB (12GB RAM) Black Preto,"ou R$ 1.087,06",xiaomi
Smartphone Infinix Hot 50 16GB RAM 256GB câmera 50MP tela 120Hz celular Perfomance Gamer e Design Premium,"ou R$ 989,10",infinix
Smartphone Motorola Moto G85 5G Dual Sim Tela 6.7 8 GB RAM 256 GB Anatel,"ou R$ 1.394,99",motorola
"Smartphone Note14 Câmera 108MP / 20mp frontal 256GB/128GB Tela AMOLED 120Hz FHD plus, Design e Performance celular Premium Certificação IP54","ou R$ 1.403,37",note
"Smartphone Motorola Moto G55 5G 256GB 16GB RAM Boost Câmera Traseira Dupla 50MP + 8MP Selfie 16MP Tela 6.5"" Rosa","ou R$ 2.039,99",motorola
"Smartphone 12 256GB 8GB RAM Dual SIM Tela 6.79"" - Azul","ou R$ 892,71",12
"Smartphone Xiaomi Redmi Note 13 512GB 8GB RAM Dual SIM Tela 6.67"" - Preto","ou R$ 3.134,03",xiaomi
Smartphone Motorola Moto G24 256GB 4GB RAM - Grafite + Ubook - Livros Digitais,"ou R$ 2.699,10",motorola
LG K40S Dual SIM 32 GB new aurora black 3 GB RAM,"ou R$ 1.034,10",lg
Realme C61 256GB 8GB RAM Dual SIM NFC Tela 6.74 Dourado,"ou R$ 1.102,42",realme
Smartphone Xiaomi POCO X6 5G 256GB (8GB RAM) Black Preto - Xioami,"ou R$ 826,77",xiaomi
Celular C75 256GB 8GB RAM Dual SIM Tela 6.74 Black Preto,"ou R$ 6.699,00",tablet
Smartphone Xiaomi Redmi 13C 256GB - 8GB Ram (Midnight Black) Preto,"ou R$ 1.954,99",xiaomi
"Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67"" - Azul","ou R$ 1.159,20",xiaomi
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto","ou R$ 2.144,58",apple
"Smartphone Motorola Moto g75 5G Music Edition Moto Buds 256GB, 8GB RAM, 8GB Ram Boost, 50MP Sony Camera, Moto AI, Ultrarresistencia militar","ou R$ 1.475,10",motorola
Smartphone OPPO A60 256GB Branco 8GB,"ou R$ 1.469,65",oppo
"Smartphone Xiaomi Poco C75 256GB 8GB RAM Dual SIM Tela 6.74"" (Black) Preto","ou R$ 1.214,10",xiaomi
"Smartphone OPPO Reno11 F 256GB Verde 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 32MP Dual Chip","ou R$ 1.495,99",oppo
"Celular Realme C61 NFC câmera dupla 50MPX 128GB / 256GB + 6GB Ram Tela 6.74"" Global Dual Sim lançamento 2024","ou R$ 832,15",realme
Smartphone Xiaomi Redmi 14C 128GB 4GB4GB RAM VIRTUAL,"ou R$ 521,54",xiaomi
Celular Do Idoso Smartphone Fácil Usar 32gb Botão Grande Zte,"ou R$ 1.062,49",zte
"Smartphone Samsung Galaxy A25 6,5"" 128GB Azul Escuro 5G 6GB RAM Câm Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip","ou R$ 2.092,49",samsung
"Samsung Galaxy S25 5G 256GB Galaxy AI Azul Marinho 6,2"" 12GB RAM Câm. Tripla 50+12+10MP Bateria 4000mAh Dual Chip","ou R$ 975,57",samsung
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb,"ou R$ 1.099,99",xiaomi
"Smartphone M6 PRO NFC 512GB /256GB Câmera 64mp OIS / 16MP frontal Tela AMOLED 120Hz FHD plus, celular Premium Design e Performance","ou R$ 1.444,99",m6
Xiaomi Redmi 14C 8GB RAM 256GB RAM Azul,"ou R$ 10.338,89",xiaomi
Smartphone Cubot KINGKONG ES - 6GB RAM + 128GB ROM - Android 14,"ou R$ 1.699,15",cubot
Realme C61 NFC câmera dupla 50MPX Tela 6.74 Global Dual Sim lançamento 2024,"ou R$ 1.709,10",realme
"Smartphone Motorola Moto g35 5G 256GB, 4GB RAM, 8GB Ram Boost, Camera 50MP com AI, NFC, Tela 6.7 com Superbrilho","ou R$ 1.062,49",motorola
"Smartphone Xiaomi Poco C75 256GB 8GB RAM Dual SIM Tela 6.74"" - Dourado","ou R$ 2.249,10",xiaomi
